source_kind,external_id,title,path,mime_type,url,created_time,modified_time,priority,status,legal_status,notes
boe_consolidado,BOE-A-1987-12077,Ley Organica 2/1987 Conflictos Jurisdiccionales,data/sources/leyes_originales/BOE_consolidadas/BOE-A-1987-12077_LO_2-1987_Conflictos_Jurisdiccionales.pdf,application/pdf,https://www.boe.es/buscar/pdf/1987/BOE-A-1987-12077-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para tema PE-03.
boe_consolidado,BOE-A-2003-20254,Ley 33/2003 Patrimonio Administraciones Publicas,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2003-20254_Ley_33-2003_Patrimonio_AAPP.pdf,application/pdf,https://www.boe.es/buscar/pdf/2003/BOE-A-2003-20254-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para legislacion basica estatal de patrimonio.
boe_consolidado,BOE-A-1986-1216,Real Decreto 33/1986 Regimen Disciplinario Funcionarios,data/sources/leyes_originales/BOE_consolidadas/BOE-A-1986-1216_RD_33-1986_Regimen_Disciplinario.pdf,application/pdf,https://www.boe.es/buscar/pdf/1986/BOE-A-1986-1216-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para regimen disciplinario.
boe_consolidado,BOE-A-1998-8202,Ley 13/1997 Tramo autonomico IRPF y tributos cedidos CV,data/sources/leyes_originales/BOE_consolidadas/BOE-A-1998-8202_Ley_13-1997_Tributos_Cedidos_CV.pdf,application/pdf,https://www.boe.es/buscar/pdf/1998/BOE-A-1998-8202-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para financiacion autonomica.
boe_consolidado,BOE-A-2001-24963,Ley 22/2001 Fondos de Compensacion Interterritorial,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2001-24963_Ley_22-2001_Fondos_Compensacion_Interterritorial.pdf,application/pdf,https://www.boe.es/buscar/pdf/2001/BOE-A-2001-24963-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para financiacion autonomica.
boe_consolidado,BOE-A-2014-8132,Real Decreto 635/2014 Periodo Medio Pago Proveedores,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2014-8132_RD_635-2014_PMP.pdf,application/pdf,https://www.boe.es/buscar/pdf/2014/BOE-A-2014-8132-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para periodo medio de pago a proveedores.
boe_consolidado,BOE-A-2019-967,Ley 25/2018 Grupos de Interes Comunitat Valenciana,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2019-967_Ley_25-2018_Grupos_Interes_CV.pdf,application/pdf,https://www.boe.es/buscar/pdf/2019/BOE-A-2019-967-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para gobierno abierto y grupos de interes.
boe_consolidado,BOE-A-2016-11021,Ley 8/2016 Incompatibilidades Conflictos Intereses Cargos Publicos CV,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2016-11021_Ley_8-2016_Conflictos_Intereses_CV.pdf,application/pdf,https://www.boe.es/buscar/pdf/2016/BOE-A-2016-11021-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para conflicto de interes autonomico.
dogv_pdf,DOGV-A-20061218-R-20240306-CORTS,Reglamento de Les Corts consolidado DOGV,data/sources/leyes_originales/DOGV/DOGV-A_20061218_R_20240306_Reglamento_Les_Corts.pdf,application/pdf,https://dogv.gva.es/auto/docvpub/rlgv/2006/A_20061218_ca_R_20240306.pdf,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para tema PG-08.
dogv_html,DOGV-2017-860,Decreto 3/2017 Seleccion Provision Movilidad Funcion Publica Valenciana,data/sources/leyes_originales/DOGV/DOGV-2017-860_Decreto_3-2017_Seleccion_Provision_Movilidad.html,text/html,https://dogv.gva.es/es/resultat-dogv?L=0&sig=000860%2F2017&url_lista=,,,alta,descargado,pendiente_de_validacion,Indicacion auxiliar Autentica para temas PE-35 y PE-36.
