part,topic_number,topic_title,topic_id,topic_source_id,law_id,law_title,article_id,article_ref,article_title,normative_reference,coverage_status,mapping_basis,priority,validation_status,notes,integrity_status
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4995,44,Ley 1/1987 Electoral Valenciana,98175,1,"La presente Ley, en cumplimiento de lo previsto en el artículo 12 del Estatuto de",Ley 1/1987 art. 1,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4996,44,Ley 1/1987 Electoral Valenciana,98176,2,Uno. Son electores los que poseyendo la condición política de valencianos o teniendo los,Ley 1/1987 art. 2,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4997,44,Ley 1/1987 Electoral Valenciana,98177,3,"Son elegibles los ciudadanos que, poseyendo la condición de elector, de conformidad",Ley 1/1987 art. 3,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4998,44,Ley 1/1987 Electoral Valenciana,98178,4,Son inelegibles también:,Ley 1/1987 art. 4,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4999,44,Ley 1/1987 Electoral Valenciana,98179,5,La calificación de las inelegibilidades se verificará el mismo día de la presentación de la,Ley 1/1987 art. 5,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5000,44,Ley 1/1987 Electoral Valenciana,98180,6,Uno. Las causas de inelegibilidad de los Diputados lo son también de incompatibilidad.,Ley 1/1987 art. 6,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5001,44,Ley 1/1987 Electoral Valenciana,98181,7,"Uno. Los Diputados de las Cortes Valencianas, salvo los miembros del Consell y",Ley 1/1987 art. 7,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5002,44,Ley 1/1987 Electoral Valenciana,98182,8,Uno. Los Diputados a Cortes Valencianas no podrán percibir más de una retribución con,Ley 1/1987 art. 8,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5003,44,Ley 1/1987 Electoral Valenciana,98183,9,El mandato de los Diputados de las Cortes Valencianas es compatible con el desempeño,Ley 1/1987 art. 9,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5004,44,Ley 1/1987 Electoral Valenciana,98184,10,En las elecciones a las Cortes Valencianas la circunscripción electoral será la provincia.,Ley 1/1987 art. 10,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5005,44,Ley 1/1987 Electoral Valenciana,98185,11,Uno. El número de Diputados de las Cortes Valencianas se fija en 89.,Ley 1/1987 art. 11,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5006,44,Ley 1/1987 Electoral Valenciana,98186,12,La atribución de escaños de acuerdo con los resultados del escrutinio se realiza,Ley 1/1987 art. 12,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5007,44,Ley 1/1987 Electoral Valenciana,98187,13,"Si en cualquier momento se produjera renuncia, incapacidad o fallecimiento de un",Ley 1/1987 art. 13,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,5008,44,Ley 1/1987 Electoral Valenciana,98188,14,Uno. La convocatoria de elecciones a las Cortes Valencianas se realizará mediante,Ley 1/1987 art. 14,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4986,17,Ley 5/1983 Gobierno Valenciano Consell,95124,18,Las funciones del Consell en materia normativa se concretan en las siguientes,Ley 5/1983 art. 18,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4987,17,Ley 5/1983 Gobierno Valenciano Consell,95149,42,1. De conformidad con lo dispuesto en el artículo 26.1 del Estatut d’Autonomia de la,Ley 5/1983 art. 42,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4988,17,Ley 5/1983 Gobierno Valenciano Consell,95160,53,"Les Corts podrán delegar en el Consell la potestad de dictar normas con rango de Ley,",Ley 5/1983 art. 53,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
general,8,"Les Corts: el procedimiento legislativo. Control de las disposiciones del Consell con fuerza de Ley. El sistema electoral valenciano: el Derecho de sufragio, el sistema electoral y la convocatoria de elecciones.",8,4989,17,Ley 5/1983 Gobierno Valenciano Consell,95161,54,La delegación legislativa habrá de conferirse al Consell de forma expresa para materia,Ley 5/1983 art. 54,articulo_delimitado,validacion_articulos_codex_2026_06_18,alta,validado_fuente_oficial_pendiente_revision_humana,Delimitacion documentada en .claude/VALIDACION_ARTICULOS_POR_TEMA.md contra fuente oficial BOE/DOGV; pendiente revision humana.,ok
